AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,,,,,,,,,
14804,14804,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,|L·Q·S|,LQS,,Alcolea del Río,,,,,,,,,
14823,14823,Dressel 20,Bad Cannstatt,Stuttgart-Bad Cannstatt,48.805827,9.241809,|MQSR|,MQSR,,,,,,,,,,,
14915,14915,Dressel 20,Bad Cannstatt,Stuttgart-Bad Cannstatt,48.805827,9.241809,|SAXOF'[ERRI],SAXOFERRI,,,,,,,,,,,
14993,14993,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,"VIRAV, sine imagine",VIRAV,,Villar de Brenes,,,,,,,,,
14003,14003,Dressel 20,Bad Ems,Kastel Ems,50.332737,7.717548,"MAEMRVS, sine imagine",MAEMRVS,,Arva,,,,,,,,,
14258,14258,Dressel 20,Bad Ems,Grube bei der Elementarshule,50.332737,7.717548,|IIIENN^IIV^L((corona))|,IIIENNIIVL,,huerta del río,,,,,,,,,
14492,14492,Dressel 20,Bad Ems,Kastel Ems,50.332737,7.717548,|QIIM!Fn|,QIIMFN,,,,,,,,,,,
14813,14813,Dressel 20,Bad Ems,Kastel Ems,50.332737,7.717548,"LQS, sine imagine",LQS,,Alcolea del Río,,,,,,,,,
14818,14818,Dressel 20,Bad Ems,Kastel Ems,50.332737,7.717548,|LQSK|,LQSK,,Alcolea del Río,,,,,,,,,
14541,14541,Dressel 20,Baden-Baden,Baden-Baden,48.757631,8.242458,"CIVR, sine imagine",CIVR,,,,,,,,,,,
14832,14832,Dressel 20,Baden-Baden,Lange Strasse (Alte Hofapotheke),48.757631,8.242458,|CRKAL|,CRKAL,,La Catria,,,,,,,,,
14410,14410,Dressel 20,Bad Kreuznach,Bad Kreuznach,49.841396,7.867127,|HISPSA^E+,HISPSAE,,,,,,,,,,,
27906,27906,Dressel 20,Bad Kreuznach,Villa,49.841396,7.867127,|IICAMILI/|MELISSI,IICAMILIMELISSI,,Arva,,,,,,,,,
27906,27906,Dressel 20,Bad Kreuznach,Villa,49.841396,7.867127,|IICAMILI/|MELISSI,IICAMILIMELISSI,,Las Delicias,,,,,,,,,
27907,27907,Dressel 20,Bad Kreuznach,Villa,49.841396,7.867127,|LFCFP|,LFCFP,,Las Monjas,,,,,,,,,
11976,11976,Dressel 20,Bad Wimpfen,aus dem Abgang des Steinkellers Nr.2736 A,49.229708,9.156485,|AC[IR]G'I|,ACIRGI,,Itálica,,,,,,,,,
11985,11985,Dressel 20,Bad Wimpfen,"Fläche 7105-77, Planum 1-2, Fund-Nr.4471",49.229708,9.156485,|Q'·{V^I·}A|,QVIA?,,,,,,,,,,,
12002,12002,Dressel 20,Bad Wimpfen,aus der Verfüllung des Steinkellers Bef.-Nr.2385,49.229708,9.156485,[P]NNSH|,PNNSH,,,,,,,,,,,
12009,12009,Dressel 20,Bad Wimpfen,"Fläche 7800-26, Planum 5-6",49.229708,9.156485,|M'VL|,MVL,,,,,,,,,,,
13970,13970,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|L·A*,LA...,,,,,,,,,,,
13981,13981,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|CAS|,CAS...,,El Judío,,,,,,,,,
14090,14090,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|AC'I/|RCI,ACIRGI,,,,,,,,,,,
14291,14291,Dressel 20,Bad Wimpfen,Kastellvicus,49.229708,9.156485,|LFCCVCA[T],LFCCVCAT,,Isla del Castillo,,,,,,,,,
14291,14291,Dressel 20,Bad Wimpfen,Kastellvicus,49.229708,9.156485,|LFCCVCA[T],LFCCVCAT,,Las Ánimas,,,,,,,,,
14312,14312,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|L'·F'CCVF[S],LFCCVFS,,Cerro de los Pesebres,,,,,,,,,
14312,14312,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|L'·F'CCVF[S],LFCCVFS,,Villacisneros,,,,,,,,,
14418,14418,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|Q((hedera))I((hedera))A|,QIA,,Malpica,,,,,,,,,
14436,14436,Dressel 20,Bad Wimpfen,Lange Strasse 2 (Alte Hofapotheke),49.229708,9.156485,|QIAFS^F|,QIAFSF,,,,,,,,,,,
