id,lat,long,type,site,code,place
33393,54.966667,-2.333333,Dressel 20,Bardon Mill,MIAPMA,Britania
33394,54.966667,-2.333333,Dressel 20,Bardon Mill,MSEHELC,Britania
33395,54.966667,-2.333333,Dressel 20,Bardon Mill,OLEASTRO,Britania
33396,54.966667,-2.333333,Dressel 20,Bardon Mill,PNN,Britania
33397,54.966667,-2.333333,Dressel 20,Bardon Mill,PNN,Britania
33398,54.966667,-2.333333,Dressel 20,Bardon Mill,QAEPO,Britania
33399,54.966667,-2.333333,Dressel 20,Bardon Mill,QIM,Britania
33400,54.966667,-2.333333,Dressel 20,Bardon Mill,QIMS,Britania
33401,54.966667,-2.333333,Dressel 20,Bardon Mill,QMR,Britania
33402,54.966667,-2.333333,Dressel 20,Bardon Mill,SANNIRGR,Britania
33403,54.966667,-2.333333,Dressel 20,Bardon Mill,SCALCELS,Britania
33404,54.966667,-2.333333,Dressel 20,Bardon Mill,SCALHER,Britania
33405,54.966667,-2.333333,Dressel 20,Bardon Mill,SER,Britania
33406,54.966667,-2.333333,Dressel 20,Bardon Mill,SEI,Britania
33408,54.966667,-2.333333,Dressel 20,Bardon Mill,MIVS,Britania
15814,55.958056,-4.064722,Dressel 20,Bar Hill,MMACSV,Britania
16450,55.958056,-4.064722,Dressel 20,Bar Hill,GNAPCO,Britania
16499,55.958056,-4.064722,Dressel 20,Bar Hill,SNR,Britania
16778,55.958056,-4.064722,Dressel 20,Bar Hill,LSPBOEQ,Britania
17083,55.958056,-4.064722,Dressel 20,Bar Hill,VIRAV,Britania
17084,55.958056,-4.064722,Dressel 20,Bar Hill,VIRGINENSIA,Britania
17200,55.958056,-4.064722,Dressel 20,Bar Hill,M,Britania
17205,55.958056,-4.064722,Dressel 20,Bar Hill,MMC,Britania
17217,55.958056,-4.064722,Dressel 20,Bar Hill,SA,Britania
16500,55.916667,-4.35,Dressel 20,Bearsden,SNR,Britania
16539,55.916667,-4.35,Dressel 20,Bearsden,DOMS,Britania
16544,55.916667,-4.35,Dressel 20,Bearsden,DOMS,Britania
17195,55.916667,-4.35,Dressel 20,Bearsden,I,Britania
16004,54.383333,-3.283333,Dressel 20,Beckfoot,MFF,Britania
15704,55.066667,-3.233333,Dressel 20,Birrens,LCANTP,Britania
15748,55.066667,-3.233333,Dressel 20,Birrens,LCFPC,Britania
16372,55.066667,-3.233333,Dressel 20,Birrens,MMRQ,Britania
16551,55.066667,-3.233333,Dressel 20,Birrens,DOMS,Britania
16877,55.066667,-3.233333,Dressel 20,Birrens,SCAVE,Britania
17110,55.066667,-3.233333,Dressel 20,Birrens,AR,Britania
17197,55.066667,-3.233333,Dressel 20,Birrens,LFI,Britania
15484,54.65,-1.666667,Dressel 20,Bishop Auckland,ACIRGI,Britania
15708,54.65,-1.666667,Dressel 20,Bishop Auckland,FCCVC,Britania
15964,54.65,-1.666667,Dressel 20,Bishop Auckland,LFCCVCAT,Britania
17101,54.65,-1.666667,Dressel 20,Bishop Auckland,VRITTIFAV,Britania
15400,55.9,-4.233333,Dressel 20,Bishopbriggs,LAF,Britania
15665,55.9,-4.233333,Dressel 20,Bishopbriggs,DATSCOL,Britania
