,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionDateStartYear,ProductionDateEndYear,ProductionPlaceTitle,CountryTitle
,18694,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|CA[?]V''M|,CAVM,,212,300,,United Kingdom
,18695,Dressel 20,Bardon Mill,V91 24,54.966667,-2.333333,Q'CC'*,QCC...,,,,Las Sesenta,United Kingdom
,18696,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|QCC'*,QCC...,,160,180,Las Sesenta,United Kingdom
,18697,Dressel 20,Bardon Mill,Hors stratigraphie,54.966667,-2.333333,|LCM|,LCM,,,,La Catria,United Kingdom
,18698,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,[L]CM|,LCM,,212,300,La Catria,United Kingdom
,18699,Dressel 20,Bardon Mill,"VF 43, période VII (212-300)",54.966667,-2.333333,[LC]M|,LCM,,212,300,La Catria,United Kingdom
,18700,Dressel 20,Bardon Mill,Période V (120-140),54.966667,-2.333333,|Q[C]R|,QCR,,120,140,Sevilla,United Kingdom
,18701,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,[Q]COCL|,QCOCL,,105,120,,United Kingdom
,18702,Dressel 20,Bardon Mill,"VT 89, période V (120-140)",54.966667,-2.333333,[QC]O''CL|,QCOCL,,120,140,,United Kingdom
,18703,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|PORODV|,PORODV,,212,300,Haza del Olivo,United Kingdom
,18703,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|PORODV|,PORODV,,212,300,La Catria,United Kingdom
,18704,Dressel 20,Bardon Mill,"VI 19, période VIB (200-212)",54.966667,-2.333333,|E''VTY'C'IO|,EVTYCIO,,200,212,,United Kingdom
,18705,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|LFC*,LFC,,,,Alcotrista,United Kingdom
,18706,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|Q·F·G|,QFG,,105,120,,United Kingdom
,18707,Dressel 20,Bardon Mill,"VZ 283, période V (120-140)",54.966667,-2.333333,|L'((hedera))F((hedera))O|,LFO,,120,140,Sevilla,United Kingdom
,18708,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,M'IM|,MIM,,160,180,La Catria,United Kingdom
,18708,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,M'IM|,MIM,,160,180,Peñaflor,United Kingdom
,18709,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|Q((hedera))I((hedera))M|,QIM,,160,180,,United Kingdom
,18710,Dressel 20,Bardon Mill,Période VIA (180-200),54.966667,-2.333333,|QIMMACR|,QIMMACR,,180,200,,United Kingdom
,18711,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|LIRTOR|,LIRTOR,,,,,United Kingdom
,18712,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|A^ELI<·IT^A^L·^SEN|,AELIITALSEN,,160,180,,United Kingdom
,18713,Dressel 20,Bardon Mill,"V01 49A, période IV (105-120)",54.966667,-2.333333,|P[I]V^L'CR^ISPI[?],PIVLICRISPI,,105,120,El Marchante,United Kingdom
,18714,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|L·IVNI·M|/|ELISSI·P|,LIVNIMELISSIP,,212,300,Arva,United Kingdom
,18715,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,[L]·IVNIM'|/E'LISSI·P|,LIVNIMELISSIP,,212,300,Arva,United Kingdom
,18717,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,[L·IVNI·]M'|/[ELIS]S[I]|,LIVNIMELISSI,,160,180,Las Delicias,United Kingdom
,18718,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,[II]IVNIM^ELISSI|/|ETMELISSE[?|,IIIVNMELISSIETMELISSE,,212,300,Las Delicias,United Kingdom
,18719,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|P^LFM^A^V^R|,PLFMAVR,,105,120,,United Kingdom
,18720,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|CLPV'*,CLPV,,212,300,La Catria,United Kingdom
,18721,Dressel 20,Bardon Mill,"VL 17, période VII (212-300)",54.966667,-2.333333,|PN'N*,PNN,,212,300,Alcolea del Río,United Kingdom
,18721,Dressel 20,Bardon Mill,"VL 17, période VII (212-300)",54.966667,-2.333333,|PN'N*,PNN,,212,300,Arva,United Kingdom
,18721,Dressel 20,Bardon Mill,"VL 17, période VII (212-300)",54.966667,-2.333333,|PN'N*,PNN,,212,300,El Tejarillo,United Kingdom
,18721,Dressel 20,Bardon Mill,"VL 17, période VII (212-300)",54.966667,-2.333333,|PN'N*,PNN,,212,300,Tostoneras,United Kingdom
,18722,Dressel 20,Bardon Mill,"VT 72, période V (120-140)",54.966667,-2.333333,|A·P·CR|,APCR,,120,140,,United Kingdom
,18723,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|A·P'·H|,APH,,105,120,El Marchante,United Kingdom
,18724,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|L·Q·S|,LQS,,,,Alcolea del Río,United Kingdom
,18725,Dressel 20,Bardon Mill,Période VIB (200-212),54.966667,-2.333333,[L·]Q·S|,LQS,,200,212,Alcolea del Río,United Kingdom
,18726,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|PORTAR''[?]|,PORTAR,,160,180,,United Kingdom
,18727,Dressel 20,Bardon Mill,Période III (85-105),54.966667,-2.333333,[GR]AD·O[S]|,GRADOS,,85,105,Manuel Nieto,United Kingdom
,18728,Dressel 20,Bardon Mill,Période VIA (180-200),54.966667,-2.333333,|L·S·L·P·S·|,LSLPS,,180,200,,United Kingdom
,18729,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|Q·S·P|,QSP,,105,120,,United Kingdom
,18730,Dressel 20,Bardon Mill,"VT 91, période III (85-105)",54.966667,-2.333333,[Q·S[·P],QSP,,85,105,,United Kingdom
,18731,Dressel 20,Bardon Mill,Période II (85-105).,54.966667,-2.333333,[Q]SP,QSP,,85,105,,United Kingdom
,18732,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|HISP·SA^EN^I((corona))|,HISPSAENI,,105,120,huerta del río,United Kingdom
,18733,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|F·SCIM'|/|N'I'A'N'O'|,FSCIMNIANO,,212,300,Las Delicias,United Kingdom
,18734,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,"C·SEMPL..., sine imagine",CSEMPL,,105,120,,United Kingdom
,18735,Dressel 20,Bardon Mill,"VX 42, période V (120-140)",54.966667,-2.333333,|SER·M|,SERM,,120,140,,United Kingdom
,18736,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,+A''H+,...AH...,,212,300,,United Kingdom
,18737,Dressel 20,Bardon Mill,"VJ 58, période VI (160-180)",54.966667,-2.333333,+A[I·F]|,...AIF,,160,180,,United Kingdom
,18738,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|C+ & |Q'+,C... & Q...,,160,180,,United Kingdom
,18739,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,"...EL, sine imagine",...EL,,212,300,,United Kingdom
,18740,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|L+,L...,,105,120,,United Kingdom
,18741,Dressel 20,Bardon Mill,"V00 37, période II ou III (85-105)",54.966667,-2.333333,Q+,Q...,,85,105,,United Kingdom
,18742,Dressel 20,Bardon Mill,"VI 57, période IV (105-120)",54.966667,-2.333333,|Q+,Q...,,105,120,,United Kingdom
,18743,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,+SC+ & +BC+,...SC... & ...BC...,,160,180,,United Kingdom
,18744,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|[L·IVN]I'M*/|[ELISS]I''[P] & |[IIIVN]I''M''[ELISSI]/|[ET]M''[E]L''[SSE],LIVNIMELISSI & IIIVNIMELISSIETMELISSE,,212,300,Las Delicias,United Kingdom
,18745,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,[---?]S^E[?]|,...SE...,,160,180,,United Kingdom
,18746,Dressel 20,Bardon Mill,Hors stratigraphie,54.966667,-2.333333,|[?]GRA*,GRA,,,,La Catria,United Kingdom
,18747,Dressel 20,Bardon Mill,Période VIB (200-212),54.966667,-2.333333,+LI+,...LI...,,200,212,,United Kingdom
,18748,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,*M·F·[?]·A|,...MF...A,,,,,United Kingdom
,18749,Dressel 20,Bardon Mill,"V01 19A, période III (85-105)",54.966667,-2.333333,"*A''[?]A|, bis impressum est",...A...A,,85,105,,United Kingdom
,18750,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|QI^F·C''[O?]X'|,QIFC...OX?,,160,180,,United Kingdom
