AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,LocationTypeTitle
16499,16499,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,"SNR, sine imagine",SNR,,La Catria,Military Camp
16778,16778,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|LSPB''OEQ|,LSPBOEQ,,Adelfa,Military Camp
16778,16778,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|LSPB''OEQ|,LSPBOEQ,,Guadajoz,Military Camp
16778,16778,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|LSPB''OEQ|,LSPBOEQ,,Juan Barba,Military Camp
17083,17083,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|VIRAV|,VIRAV,,Villar de Brenes,Military Camp
17084,17084,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,"VIRGINENSIA, sine imagine",VIRGINENSIA,,Itálica,Military Camp
17200,17200,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,+M|,...M,,,Military Camp
17205,17205,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,"+MMC+, sine imagine",...MMC...,,,Military Camp
17217,17217,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,+SA+,...SA...,,,Military Camp
16500,16500,Dressel 20,Bearsden,Bearsden,55.916667,-4.35,"SNR, sine imagine",SNR,,La Catria,Military Camp
16539,16539,Dressel 20,Bearsden,Bearsden,55.916667,-4.35,"DOMS, sine imagine",DOMS,,Alcolea del Río,Military Camp
16544,16544,Dressel 20,Bearsden,Bearsden,55.916667,-4.35,"DOMS, sine imagine",DOMS,,Alcolea del Río,Military Camp
17195,17195,Dressel 20,Bearsden,Bearsden,55.916667,-4.35,"+I+, sine imagine",...I...,,,Military Camp
16004,16004,Dressel 20,Beckfoot,Beckfoot,54.383333,-3.283333,"MFF, sine imagine",MFF,,Arva,Military Camp
13952,13952,Dressel 20,Benningen,Benningen,47.968555,10.21178,|CAFSM| & |CAFFM|,CAFSM & CAFFM,,,Military Camp
14589,14589,Dressel 20,Bingen,Bingen,49.966747,7.899198,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,Las Delicias,Military Camp
14794,14794,Dressel 20,Bingen,Bingen,49.966747,7.899198,"MQFF, sine imagine",MQFF,,Malpica Sur,Military Camp
15704,15704,Dressel 20,Birrens,Birrens,55.066667,-3.233333,|L·CA^N^TP|,LCANTP,,La Catria,Military Camp
15748,15748,Dressel 20,Birrens,Birrens,55.066667,-3.233333,|LCF·PC'+,LCFPC...,,,Military Camp
16372,16372,Dressel 20,Birrens,Birrens,55.066667,-3.233333,M'M·RQ'*,MMR,,,Military Camp
16551,16551,Dressel 20,Birrens,Birrens,55.066667,-3.233333,|DOMS|,DOMS,,Alcolea del Río,Military Camp
16877,16877,Dressel 20,Birrens,Birrens,55.066667,-3.233333,|SCAVE''+,SCAVE...,,Cerro de los Pesebres,Military Camp
17110,17110,Dressel 20,Birrens,Birrens,55.066667,-3.233333,"AR+, sine imagine",AR...,,,Military Camp
17197,17197,Dressel 20,Birrens,Birrens,55.066667,-3.233333,"+LFI, sine imagine",...LFI,,,Military Camp
14038,14038,Dressel 20,Bonn,Bonn,50.73438,7.095485,"CANTQVIETI, sine imagine",CANTQVIETI,,,Military Camp
14220,14220,Dressel 20,Bonn,Bonn,50.73438,7.095485,"IICAMILIMELISSI, sine imagine",IICAMILIMELISSI,,Arva,Military Camp
14220,14220,Dressel 20,Bonn,Bonn,50.73438,7.095485,"IICAMILIMELISSI, sine imagine",IICAMILIMELISSI,,Las Delicias,Military Camp
14303,14303,Dressel 20,Bonn,Bonn,50.73438,7.095485,"LFCCVFCM, sine imagine",LFCCVFCM,,,Military Camp
14349,14349,Dressel 20,Bonn,Bonn,50.73438,7.095485,"DFF, sine imagine",DFF,,Arva,Military Camp
14349,14349,Dressel 20,Bonn,Bonn,50.73438,7.095485,"DFF, sine imagine",DFF,,El Tejarillo,Military Camp
14449,14449,Dressel 20,Bonn,Bonn,50.73438,7.095485,"CIALB, sine imagine",CIALB,,Malpica,Military Camp
14565,14565,Dressel 20,Bonn,Bonn,50.73438,7.095485,"LIVNIMELISSI, sine imagine",LIVNIMELISSI,,Las Delicias,Military Camp
14584,14584,Dressel 20,Bonn,Bonn,50.73438,7.095485,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,Las Delicias,Military Camp
14585,14585,Dressel 20,Bonn,Bonn,50.73438,7.095485,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,Las Delicias,Military Camp
14622,14622,Dressel 20,Bonn,Bonn,50.73438,7.095485,"GMMF, sine imagine",GMMF,,Azanaque-Castillejo,Military Camp
14651,14651,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PMSC, sine imagine",PMSC,,El Pinzón,Military Camp
14690,14690,Dressel 20,Bonn,Bonn,50.73438,7.095485,|PnN|,PNN,,Alcolea del Río,Military Camp
14690,14690,Dressel 20,Bonn,Bonn,50.73438,7.095485,|PnN|,PNN,,Arva,Military Camp
14690,14690,Dressel 20,Bonn,Bonn,50.73438,7.095485,|PnN|,PNN,,El Tejarillo,Military Camp
14690,14690,Dressel 20,Bonn,Bonn,50.73438,7.095485,|PnN|,PNN,,Tostoneras,Military Camp
14693,14693,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PNN, sine imagine",PNN,,Alcolea del Río,Military Camp
14693,14693,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PNN, sine imagine",PNN,,Arva,Military Camp
14693,14693,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PNN, sine imagine",PNN,,El Tejarillo,Military Camp
14693,14693,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PNN, sine imagine",PNN,,Tostoneras,Military Camp
14707,14707,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SEXN+, sine imagine",SEXN...,,,Military Camp
14803,14803,Dressel 20,Bonn,Bonn,50.73438,7.095485,"LQS, sine imagine",LQS,,Alcolea del Río,Military Camp
14848,14848,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PORPS, sine imagine",PORPS,,La Catria,Military Camp
14904,14904,Dressel 20,Bonn,Bonn,50.73438,7.095485,"ASAENI, sine imagine",ASAENI,,huerta del río,Military Camp
14917,14917,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SAXOFERREO, sine imagine",SAXOFERREO,,Arva,Military Camp
14917,14917,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SAXOFERREO, sine imagine",SAXOFERREO,,Huerta de Belén,Military Camp
14922,14922,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SAXFERRIVS, sine imagine",SAXFERRIVS,,,Military Camp
14928,14928,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SCALCELS, sine imagine",SCALCELS,,Cerro de los Pesebres,Military Camp
14995,14995,Dressel 20,Bonn,Bonn,50.73438,7.095485,"VIR+, sine imagine",VIR...?,,,Military Camp
17921,17921,Dressel 20,Bonn,Bonn,50.73438,7.095485,|CIVEN'A^LBEP,CIVENALBEP,,Malpica,Military Camp
20477,20477,Dressel 20,Bonn,Bonn,50.73438,7.095485,|G·A·[F],GAF,,Azanaque-Castillejo,Military Camp
12666,12666,Dressel 20,Bregenz,Bregenz,47.5,9.766667,C'[A]N^TON^IQVI^ET^I,CANTONIQVIETI,,Alcolea del Río,Military Camp
12669,12669,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|CIALS|,CIALS,,,Military Camp
12670,12670,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|C'SEMPO|,CSEMPO,,,Military Camp
12673,12673,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|L·SS^EP^T|,LSSEPT,,,Military Camp
12675,12675,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|LVT^ROP^H[^I]M[^I]|,LVTROPHIMI,,Arva,Military Camp
12675,12675,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|LVT^ROP^H[^I]M[^I]|,LVTROPHIMI,,La Catria,Military Camp
12675,12675,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|LVT^ROP^H[^I]M[^I]|,LVTROPHIMI,,Lora la Vieja,Military Camp
12676,12676,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|M^A^E^LA^L^EX|,MAELALEX,,El Mohino,Military Camp
12678,12678,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|MF^A^B{P^TA}|,MFABPAT,,,Military Camp
12679,12679,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|MIM|,MIM,,La Catria,Military Camp
12679,12679,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|MIM|,MIM,,Peñaflor,Military Camp
12682,12682,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|MsP|,MSP,,Guadajoz,Military Camp
12686,12686,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|OLYMPI|,OLYMPI,,,Military Camp
12688,12688,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|Q·FA^LBE'+,QFALBE…?,,,Military Camp
12689,12689,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|QIM·F|,QIMF,,El Judío,Military Camp
12690,12690,Dressel 20,Bregenz,Bregenz,47.5,9.766667,*I'IQ*,…IIQ…,,,Military Camp
12691,12691,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|QSP|,QSP,,,Military Camp
12692,12692,Dressel 20,Bregenz,Bregenz,47.5,9.766667,ROM^ANI,ROMANI,,,Military Camp
12693,12693,Dressel 20,Bregenz,Bregenz,47.5,9.766667,HISP·SA^E[N^I((corona))],HISPSAENI,,huerta del río,Military Camp
12694,12694,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|S·N·R|,SNR,,La Catria,Military Camp
12695,12695,Dressel 20,Bregenz,Bregenz,47.5,9.766667,T·A·ASIATIC~I,TAASIATICI,,,Military Camp
12697,12697,Dressel 20,Bregenz,Bregenz,47.5,9.766667,|VIRI|,VIRI,,Villar de Brenes,Military Camp
14028,14028,Dressel 20,Burghöfe,Burghöfe,48.6457,10.825275,[C]A'N^TO'N^IQ'V'I^E'T^I'|,CANTONIQVIETI,,Alcolea del Río,Military Camp
15391,15391,Dressel 20,Caerhûn,Caerhûn,53.216667,-3.833333,"GAF, sine imagine",GAF,,Azanaque-Castillejo,Military Camp
16018,16018,Dressel 20,Caerhûn,Caerhûn,53.216667,-3.833333,[L?]FO*,LFO?,,Sevilla,Military Camp
16307,16307,Dressel 20,Caerhûn,Caerhûn,53.216667,-3.833333,"ALFO, sine imagine",ALFO,,La Catria,Military Camp
16617,16617,Dressel 20,Caerhûn,Caerhûn,53.216667,-3.833333,"PASSERAR, sine imagine",PASSERAR,,Casa del Guarda o Llano,Military Camp
16870,16870,Dressel 20,Caerhûn,Caerhûn,53.216667,-3.833333,[S]C{A^L'E}NSIA|,SCALENSIA,,Cerro de los Pesebres,Military Camp
15386,15386,Dressel 20,Caerleon,Caerleon,51.613333,-2.958889,|MAC|,MAC,,Malpica Sur,Military Camp
15393,15393,Dressel 20,Caerleon,Caerleon,51.613333,-2.958889,|G·A·F|,GAF,,Azanaque-Castillejo,Military Camp
