id,lat,long,type,site,code,country,locationtype
14863,50.933333,6.95,Dressel 20,Köln,MSP,Germany,Military Camp
14868,50.933333,6.95,Dressel 20,Köln,QSP,Germany,Military Camp
14894,50.933333,6.95,Dressel 20,Köln,LSERGISATV,Germany,Military Camp
14901,50.933333,6.95,Dressel 20,Köln,SAENIANESSAENIAMES,Germany,Military Camp
14920,50.933333,6.95,Dressel 20,Köln,SAXFEREV,Germany,Military Camp
14921,50.933333,6.95,Dressel 20,Köln,SAXOVPTI,Germany,Military Camp
14929,50.933333,6.95,Dressel 20,Köln,SCALFES,Germany,Military Camp
14956,50.933333,6.95,Dressel 20,Köln,QVCCF,Germany,Military Camp
14959,50.933333,6.95,Dressel 20,Köln,PVFAVSTTINI,Germany,Military Camp
14967,50.933333,6.95,Dressel 20,Köln,LVS,Germany,Military Camp
14997,50.933333,6.95,Dressel 20,Köln,VRITTIPV,Germany,Military Camp
28041,50.933333,6.95,Dressel 20,Köln,AVGGGNNNPALMACOLEARIFBARB,Germany,Military Camp
13974,48.814007,11.504904,Dressel 20,Kösching,LAR,Germany,Military Camp
14401,49.473071,8.608962,Dressel 20,Ladenburg (Lopodunum),KVFIGGRVMCOLSICETASI,Germany,Military Camp
14537,49.473071,8.608962,Dressel 20,Ladenburg (Lopodunum),ISHERMF,Germany,Military Camp
13940,49.984188,8.279096,Dressel 20,Mainz,GAF,Germany,Military Camp
13956,49.984188,8.279096,Dressel 20,Mainz,PORPAH,Germany,Military Camp
13961,49.984188,8.279096,Dressel 20,Mainz,SALS,Germany,Military Camp
13976,49.984188,8.279096,Dressel 20,Mainz,MAR,Germany,Military Camp
13979,49.984188,8.279096,Dressel 20,Mainz,NARC,Germany,Military Camp
14000,49.984188,8.279096,Dressel 20,Mainz,MAEMRVS,Germany,Military Camp
14009,49.984188,8.279096,Dressel 20,Mainz,PNN,Germany,Military Camp
14010,49.984188,8.279096,Dressel 20,Mainz,PANRVF,Germany,Military Camp
14018,49.984188,8.279096,Dressel 20,Mainz,CANTONIQVIETI,Germany,Military Camp
14030,49.984188,8.279096,Dressel 20,Mainz,CANTONIQVIETI,Germany,Military Camp
14031,49.984188,8.279096,Dressel 20,Mainz,CANTONIQVIETI,Germany,Military Camp
14035,49.984188,8.279096,Dressel 20,Mainz,CANTQVIETI,Germany,Military Camp
14145,49.984188,8.279096,Dressel 20,Mainz,QCCV,Germany,Military Camp
14219,49.984188,8.279096,Dressel 20,Mainz,IICAMILIMELISSI,Germany,Military Camp
14280,49.984188,8.279096,Dressel 20,Mainz,CFAV,Germany,Military Camp
14289,49.984188,8.279096,Dressel 20,Mainz,LFCCVCAT,Germany,Military Camp
