"","id","lat","long","type","site","code","country","locationtype"
"115",14901,50.933333,6.95,"Dressel 20","Köln","SAENIANESSAENIAMES","Germany","Military Camp"
"116",14920,50.933333,6.95,"Dressel 20","Köln","SAXFEREV","Germany","Military Camp"
"117",14921,50.933333,6.95,"Dressel 20","Köln","SAXOVPTI","Germany","Military Camp"
"118",14929,50.933333,6.95,"Dressel 20","Köln","SCALFES","Germany","Military Camp"
"119",14956,50.933333,6.95,"Dressel 20","Köln","QVCCF","Germany","Military Camp"
"120",14959,50.933333,6.95,"Dressel 20","Köln","PVFAVSTTINI","Germany","Military Camp"
"121",14967,50.933333,6.95,"Dressel 20","Köln","LVS","Germany","Military Camp"
"122",14997,50.933333,6.95,"Dressel 20","Köln","VRITTIPV","Germany","Military Camp"
"123",28041,50.933333,6.95,"Dressel 20","Köln","AVGGGNNNPALMACOLEARIFBARB","Germany","Military Camp"
"127",13940,49.984188,8.279096,"Dressel 20","Mainz","GAF","Germany","Military Camp"
"128",13956,49.984188,8.279096,"Dressel 20","Mainz","PORPAH","Germany","Military Camp"
"129",13961,49.984188,8.279096,"Dressel 20","Mainz","SALS","Germany","Military Camp"
"130",13976,49.984188,8.279096,"Dressel 20","Mainz","MAR","Germany","Military Camp"
"131",13979,49.984188,8.279096,"Dressel 20","Mainz","NARC","Germany","Military Camp"
"132",14000,49.984188,8.279096,"Dressel 20","Mainz","MAEMRVS","Germany","Military Camp"
"133",14009,49.984188,8.279096,"Dressel 20","Mainz","PNN","Germany","Military Camp"
"134",14010,49.984188,8.279096,"Dressel 20","Mainz","PANRVF","Germany","Military Camp"
"135",14018,49.984188,8.279096,"Dressel 20","Mainz","CANTONIQVIETI","Germany","Military Camp"
"136",14030,49.984188,8.279096,"Dressel 20","Mainz","CANTONIQVIETI","Germany","Military Camp"
"137",14031,49.984188,8.279096,"Dressel 20","Mainz","CANTONIQVIETI","Germany","Military Camp"
"138",14035,49.984188,8.279096,"Dressel 20","Mainz","CANTQVIETI","Germany","Military Camp"
"139",14145,49.984188,8.279096,"Dressel 20","Mainz","QCCV","Germany","Military Camp"
"140",14219,49.984188,8.279096,"Dressel 20","Mainz","IICAMILIMELISSI","Germany","Military Camp"
"141",14280,49.984188,8.279096,"Dressel 20","Mainz","CFAV","Germany","Military Camp"
"142",14289,49.984188,8.279096,"Dressel 20","Mainz","LFCCVCAT","Germany","Military Camp"
"143",14320,49.984188,8.279096,"Dressel 20","Mainz","LFCCV","Germany","Military Camp"
"144",14323,49.984188,8.279096,"Dressel 20","Mainz","LFCCVCAT","Germany","Military Camp"
"145",14329,49.984188,8.279096,"Dressel 20","Mainz","QFCF","Germany","Military Camp"
"146",14354,49.984188,8.279096,"Dressel 20","Mainz","LEFPC","Germany","Military Camp"
"147",14367,49.984188,8.279096,"Dressel 20","Mainz","FMFA","Germany","Military Camp"
"148",14383,49.984188,8.279096,"Dressel 20","Mainz","CFVA","Germany","Military Camp"
"149",14421,49.984188,8.279096,"Dressel 20","Mainz","QIAFS","Germany","Military Camp"
"150",14422,49.984188,8.279096,"Dressel 20","Mainz","QIAFS","Germany","Military Camp"
"151",14423,49.984188,8.279096,"Dressel 20","Mainz","QIAFS","Germany","Military Camp"
"152",14454,49.984188,8.279096,"Dressel 20","Mainz","QICSEC","Germany","Military Camp"
"153",14462,49.984188,8.279096,"Dressel 20","Mainz","MIM","Germany","Military Camp"
"154",14466,49.984188,8.279096,"Dressel 20","Mainz","MIM","Germany","Military Camp"
"155",14533,49.984188,8.279096,"Dressel 20","Mainz","LIT","Germany","Military Camp"
"156",14542,49.984188,8.279096,"Dressel 20","Mainz","PIVLICRISPI","Germany","Military Camp"
"157",14552,49.984188,8.279096,"Dressel 20","Mainz","CIVNIHEBVRI","Germany","Military Camp"
"158",14554,49.984188,8.279096,"Dressel 20","Mainz","CIVNIHEBVRI","Germany","Military Camp"
"159",14603,49.984188,8.279096,"Dressel 20","Mainz","ALFO","Germany","Military Camp"
"160",14605,49.984188,8.279096,"Dressel 20","Mainz","AELFO","Germany","Military Camp"
"161",14616,49.984188,8.279096,"Dressel 20","Mainz","GMMF","Germany","Military Camp"
"162",14703,49.984188,8.279096,"Dressel 20","Mainz","SNR","Germany","Military Camp"
"163",14730,49.984188,8.279096,"Dressel 20","Mainz","CONSFC","Germany","Military Camp"
"164",14736,49.984188,8.279096,"Dressel 20","Mainz","POROCODV","Germany","Military Camp"
"165",14831,49.984188,8.279096,"Dressel 20","Mainz","PRI","Germany","Military Camp"
"166",14849,49.984188,8.279096,"Dressel 20","Mainz","PORPSA","Germany","Military Camp"
"167",14854,49.984188,8.279096,"Dressel 20","Mainz","LSLVPI","Germany","Military Camp"
"168",14862,49.984188,8.279096,"Dressel 20","Mainz","LSPBO","Germany","Military Camp"
"169",14878,49.984188,8.279096,"Dressel 20","Mainz","QSASER","Germany","Military Camp"
"170",14911,49.984188,8.279096,"Dressel 20","Mainz","SAXOFERRI","Germany","Military Camp"
"171",14934,49.984188,8.279096,"Dressel 20","Mainz","FSCIMNIANO","Germany","Military Camp"
"172",14935,49.984188,8.279096,"Dressel 20","Mainz","FSCIMNIANO","Germany","Military Camp"
"173",14940,49.984188,8.279096,"Dressel 20","Mainz","STATIANIENSIA","Germany","Military Camp"
"174",14944,49.984188,8.279096,"Dressel 20","Mainz","STCA","Germany","Military Camp"
"175",14953,49.984188,8.279096,"Dressel 20","Mainz","LVA","Germany","Military Camp"
"176",14987,49.984188,8.279096,"Dressel 20","Mainz","VIRGIN","Germany","Military Camp"
"177",18898,49.984188,8.279096,"Dressel 20","Mainz","PAC","Germany","Military Camp"
"178",18899,49.984188,8.279096,"Dressel 20","Mainz","PQAF","Germany","Military Camp"
"179",18900,49.984188,8.279096,"Dressel 20","Mainz","CALF","Germany","Military Camp"
"180",18908,49.984188,8.279096,"Dressel 20","Mainz","CAE","Germany","Military Camp"
"181",18923,49.984188,8.279096,"Dressel 20","Mainz","ACIRCIF","Germany","Military Camp"
"182",18930,49.984188,8.279096,"Dressel 20","Mainz","AVGN","Germany","Military Camp"
"183",18936,49.984188,8.279096,"Dressel 20","Mainz","LCFPO","Germany","Military Camp"
