AreaTitle	AmphoraIdentifier	AmphoricTypeTitle	SimplifiedTranscription	FullTranscription	FindingPlaceLongitude	FindingPlaceLatitude	FindingPlaceTitle	CountryTitle
Lora del Río	6856	Dressel 20	ALF...	|A·LF''+	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6857	Dressel 20	ALF	ALF|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6863	Dressel 20	...BALF	#¿NOMBRE?	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6868	Dressel 20	...LFO	"+LFO, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6882	Dressel 20	PMH...	|P·M·H+	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6885	Dressel 20	PMPPR	|PM·PP·R|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6890	Dressel 20	MMRP	|MMR'P|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6891	Dressel 20	MMRP...	|MMRP[-]*	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6892	Dressel 20	MMR...	"MMR+, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6965	Dressel 20	PORODV	|PORODV|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6966	Dressel 20	PORODV	"PORODV, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6967	Dressel 20	PORODV	"PORODV, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6968	Dressel 20	PORODV	"PORODV, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6969	Dressel 20	PORODV	"PORODV, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6970	Dressel 20	PORODV	"PORODV, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6971	Dressel 20	PORODV	|PORODV|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6972	Dressel 20	PORODV	P'ORODV''	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6973	Dressel 20	PORODV	"PORODV, bis impressum est"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6974	Dressel 20	PORODV	"PORODV, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6977	Dressel 20	POCODV	|P!O^CODV|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6978	Dressel 20	POCODV	"PORODV, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6995	Dressel 20	GPC	GPC'	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7003	Dressel 20	POPVLII	|POPVL'I'I|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7004	Dressel 20	POPVLI	|P'OPVLI|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7005	Dressel 20	POPVLI	|PO<PVL'I|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7006	Dressel 20	POPVLI	|P''O'PVLI|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7007	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7008	Dressel 20	POPVLI	[P]o<PV{L!I}|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7009	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7010	Dressel 20	POPVLI	[P]O·PV·{LI}	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7011	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7012	Dressel 20	POPVLI	[P]O''·PV·LI|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7013	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7014	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7015	Dressel 20	POPVLI	[PO]P''VL'I|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7016	Dressel 20	POPVLI	|POPVLI|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7017	Dressel 20	POPVLI	|POPVLI'|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7018	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7019	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7020	Dressel 20	POPVLI	|P>OPVL'I'|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7021	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7022	Dressel 20	POPPVLI	"|P'OP>>P'VL[I], bis impressum est"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7023	Dressel 20	POPVLI	|P''OPVL''I''*	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7024	Dressel 20	POPVLI	[P]OPVLI|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7025	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7026	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7027	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7028	Dressel 20	POPVLI	[P]OPVLI|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7029	Dressel 20	POPVLI	[PO]PVLI|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7030	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7031	Dressel 20	POPVLI	"POPVLI, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7055	Dressel 20	LQSP	|L((hedera))Q·S''·P''|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7056	Dressel 20	LQSP	"LQSP, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7062	Dressel 20	QVNTI	|QVNT'I''|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7120	Dressel 20	LSERLVP	|{L·}SER·LVP|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7121	Dressel 20	LSERLVP	|LS^ERLV^P|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7123	Dressel 20	RVSR	|R^VSR|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7133	Dressel 20	LVTROPHIMI	|L·VTROP^H^IM^I|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7136	Dressel 20	M...OPSVR…	|M[-]OPSVR'*	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7137	Dressel 20	ATITAC?	|ATIT^AC|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7138	Dressel 20	...CRROP	*CR[-]ROP'|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	7182	Dressel 20	LIT	LIT	-5.508532365550413	37.66991047726858	Cortijo del Alamo	Spain
Lora del Río	7183	Dressel 20	LIT	LIT	-5.508532365550413	37.66991047726858	Cortijo del Alamo	Spain
Lora del Río	7184	Dressel 20	LIT	LIT	-5.508532365550413	37.66991047726858	Cortijo del Alamo	Spain
Lora del Río	7185	Dressel 20	LIT	LIT	-5.508532365550413	37.66991047726858	Cortijo del Alamo	Spain
Lora del Río	7186	Dressel 20	LIT	LIT	-5.508532365550413	37.66991047726858	Cortijo del Alamo	Spain
Lora del Río	7187	Dressel 20	MMRP	MMRP'|	-5.508532365550413	37.66991047726858	Cortijo del Alamo	Spain
Mairena del Alcor	29612	Dressel 20	LVAGAL	|L·V^A·GA^L|	-5.740857383398503	37.34931918630813	Sevilla	Spain
Mairena del Alcor	29622	Dressel 20	LVALEAME	|L'V^A^L^EA^M|	-5.740857383398503	37.34931918630813	Sevilla	Spain
Palma del Río	11238	Dressel 20	CSTERTIPAS	|C·ST^E^RT^IPA~S(-)|	-5.292307312985927	37.67233853296767	Cortijo de La Sesenta	Spain
Palma del Río	11244	Dressel 20	BRQIATITA	|B^RQIA^TIT^A|	-5.292307312985927	37.67233853296767	Cortijo de La Sesenta	Spain
Palma del Río	11245	Dressel 20	ATP	|ATP|	-5.292307312985927	37.67233853296767	Cortijo de La Sesenta	Spain
Palma del Río	11246	Dressel 20	ELEPL	|E'lE'P^l|	-5.292307312985927	37.67233853296767	Cortijo de La Sesenta	Spain
Palma del Río	11247	Dressel 20	...PFS	+PFS|	-5.292307312985927	37.67233853296767	Cortijo de La Sesenta	Spain
Palma del Río	11248	Dressel 20	QSYD	|Q!SYD|	-5.292307312985927	37.67233853296767	Cortijo de La Sesenta	Spain
Palma del Río	11249	Dressel 20	QSYD	"|Q!SYD*, bis impressum est"	-5.292307312985927	37.67233853296767	Cortijo de La Sesenta	Spain
Palma del Río	11251	Dressel 20	QAGEMELIS	|Q·AGEM^EL^I[S]	-5.292307312985927	37.67233853296767	Cortijo del Judío	Spain
Palma del Río	11252	Dressel 20	QAGEMELIS	|Q·A·GEM^E[LIS]	-5.292307312985927	37.67233853296767	Cortijo del Judío	Spain
Palma del Río	11253	Dressel 20	QAGEMELIS	|Q·AG[EMELIS]	-5.292307312985927	37.67233853296767	Cortijo del Judío	Spain
Palma del Río	11255	Dressel 20	...CI	"+CI, sine imagine"	-5.292307312985927	37.67233853296767	Cortijo del Judío	Spain
Palma del Río	11256	Dressel 20	Q...	"Q+, sine imagine"	-5.292307312985927	37.67233853296767	Cortijo del Judío	Spain
Palma del Río	11293	Dressel 20	LATECTREIN?	[L]A^T^ECTR''EI^N|	-5.292307312985927	37.67233853296767	Cortijo del Instituto	Spain
Palma del Río	11294	Dressel 20	LATECTREIN?	|L^A^T^ECT'R''EI^N|	-5.292307312985927	37.67233853296767	Cortijo del Instituto	Spain
Palma del Río	11328	Dressel 20	SAXOFERREO	|SAXOFERREO|	-5.292307312985927	37.67233853296767	Huertas de Belén	Spain
Palma del Río	11329	Dressel 20	IIAVRHERACLAEPATETFILFBAR	"IIAVRHERACLAEPATETFILFBAR, sine imagine"	-5.292307312985927	37.67233853296767	Casas del Picón	Spain
Palma del Río	11330	Dressel 20	IIAVRHERACLAEPATETFILFBAR	"IIAVRHERACLAEPATETFILFBAR, sine imagine"	-5.292307312985927	37.67233853296767	Casas del Picón	Spain
Palma del Río	11331	Dressel 20	IIAVRHERACLAEPATETFILFBAR	"IIAVRHERACLAEPATETFILFBAR, sine imagine"	-5.292307312985927	37.67233853296767	Casas del Picón	Spain
Palma del Río	11335	Dressel 20	IIAVRRHERACLAEPATETFILFBAR	[IIAV]R'H^ERACL~AE|/|[PATE]TFILF[B]AR|	-5.292307312985927	37.67233853296767	Casas del Picón	Spain
Palma del Río	11336	Dressel 20	AVGGGNNNCOLEAR...	[AV]G''G''G''*/[NNNCOL]EAR+	-5.292307312985927	37.67233853296767	Casas del Picón	Spain
Palma del Río	11337	Dressel 20	IIAVRHERACLAEPATETFILFCEPAR	[IIA^V]RH^ERACL~AE|/[PA]T'E'T'[FILFCEP]AR|	-5.292307312985927	37.67233853296767	Casas del Picón	Spain
Palma del Río	11338	Dressel 20	BELCI	"BELCI, sine imagine"	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11339	Dressel 20	BEL	|BEL|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11340	Dressel 20	BEL	|BE'L|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11341	Dressel 20	BEL	|BEL|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11349	Dressel 20	BELCI	|BELCI|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11350	Dressel 20	BELCI	BEL{CI}|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11354	Dressel 20	BEL...	BEL+	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11358	Dressel 20	BELVRS	|BELVRS|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11369	Dressel 20	AVTINI	|AVTINI|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11370	Dressel 20	AVTINI	[AV]TINI|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11374	Dressel 20	SCAEL…	|sC^A^E^L^I+	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11380	Dressel 20	CAELIB	C'A^E~LI·B·|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11383	Dressel 20	CAEI & CAET	|CA^EI[--]|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11384	Dressel 20	QSO?	|Q·SO''*	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11385	Dressel 20	...DIN?	+D''IN|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	11397	Dressel 20	FGFIVSF	"FGFIVSF, bis impressum est"	-5.292307312985927	37.67233853296767	Malpica Sur	Spain
Palma del Río	11411	Dressel 20	...MIFRPN	+M''IFRPN|	-5.292307312985927	37.67233853296767	Malpica Sur	Spain
Palma del Río	11413	Dressel 20	FA...	|FA·+	-5.292307312985927	37.67233853296767	Malpica Sur	Spain
Palma del Río	11416	Dressel 20	LVBC	"LVBC, sine imagine"	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11417	Dressel 20	LVBC	"LVBC, sine imagine"	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11418	Dressel 20	LVBC	"LVBC, sine imagine"	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11435	Dressel 20	LCTI	[L]C·TI|	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11436	Dressel 20	LCTI	|L·C·TI|	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11437	Dressel 20	LCTI	[LC]TI|	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11438	Dressel 20	LCTI	|L·C·T[I]	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11439	Dressel 20	LCTI	|L·C·T[I]	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11440	Dressel 20	LVBC	|L·V^BC'|	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11441	Dressel 20	LVBC	|L·V^BC|	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11442	Dressel 20	LVBC	|LVBC|	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11443	Dressel 20	LVBC	|LV^BC|	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11444	Dressel 20	LVBC	|LV^BC|	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11445	Dressel 20	LVBC	|LVB'C'*	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11456	Dressel 20	VIBIOR...	|VI^BIOR+	-5.292307312985927	37.67233853296767	Tierras del Judío	Spain
Palma del Río	11461	Dressel 20	CIALIB	|CIA^LIB'|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	11476	Dressel 20	CIALBF	|CIA^LBF'|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	11480	Dressel 20	CIAL	|CIAL|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	11482	Dressel 20	CYALB?	|C·IA^L·B|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	11509	Dressel 20	QIVTES	|QIVES!| & |QIA!E^TS!|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	11510	Dressel 20	QIVTES	|QIVES| & |QIA!E^TS|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	11511	Dressel 20	QIVTES	|Q~IV'[TES]	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	11514	Dressel 20	CIVE	|C·I·V·E|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	11515	Dressel 20	GIVENALBEI	|GIVENA^LBEI''|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	12281	Dressel 20	...RE	*[R]E|	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	12287	Dressel 20	BELLICIANAPAGALENI	|BELL^ICI^A^NA·'<<[AGALENI]	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	12288	Dressel 20	...GALENI	*GA^{LE}<N*	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	12290	Dressel 20	FAVTINIBELLICIAN	|FAVS[TINI]/BELLIC[IAN]	-5.292307312985927	37.67233853296767	Cortijo de Romero	Spain
Palma del Río	12420	Dressel 20	ABF	|ABF|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	12434	Dressel 20	QI...	|QI'[-]·[-]|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	12435	Dressel 20	QA...	|QA((hedera))[-]+	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	12437	Dressel 20	...ALPAHC	*A^L^PA^HC|	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	12439	Dressel 20	LEP...	|LEP[EP?]	-5.292307312985927	37.67233853296767	Malpica	Spain
Palma del Río	12449	Dressel 20	...CI...	*CI*	-5.292307312985927	37.67233853296767	Malpica Sur	Spain
Palma del Río	12450	Dressel 20	FCFIVSFM	[FC]FIVSFM|	-5.292307312985927	37.67233853296767	Malpica Sur	Spain
Palma del Río	12451	Dressel 20	TRLA?	|T^R((hedera))L((hedera)))A|	-5.292307312985927	37.67233853296767	Malpica Sur	Spain
Palma del Río	12452	Dressel 20	FCFIVSFM	|FCFIVSFM|	-5.292307312985927	37.67233853296767	Malpica Sur	Spain
Palma del Río	12460	Dressel 20	...MIFRPN	"+MIFRPN, sine imagine"	-5.292307312985927	37.67233853296767	Malpica Sur	Spain
Palma del Río	12468	Dressel 20	IIAVRHERACLAEPATETFILFCEPAR	|IIA^VRH^E^R~ACL~AE|/|PAT~ETFILFCEPAR''|	-5.292307312985927	37.67233853296767	El Portillo	Spain
Palma del Río	12824	Dressel 20	...RATT...	*RAT·T*	-5.292307312985927	37.67233853296767	Huertas de Belén	Spain
Palma del Río	12832	Dressel 20	CIIALB	|CIIALB|	-5.292307312985927	37.67233853296767	Malpica	Spain
