id;lat;long;type;site;code;name
27285;-6.112142000000000;35.199297999999999;Amphora incerta;Lixus;PASQVISIDIPASOVISIDI;Mauretania Tingitana
9191;3.008816000000000;43.184417000000003;Pascual 1;Narbonne;FVLPHIL;Narbonensis
28085;-5.666942000000000;37.615057999999998;Dressel 20;Alcolea del Río;LQS;Baetica
8561;10.276951000000000;48.455989000000002;Dressel 20;Günzburg;LL;Raetia
27010;-1.031040000000000;41.507055000000001;Brindisian amphora;Botorrita;APOLONI;Tarraconensis
35313;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;LVKAON;Italia
14831;8.279095999999999;49.984188000000003;Dressel 20;Mainz;PRI;Germania Superior
12353;-5.082599000000000;37.542203000000001;Dressel 20;Écija;FABI;Baetica
16287;-0.093145000000000;51.514248000000002;Dressel 20;London;LIVNIMELISSI;Britannia
41506;5.179773000000000;52.064312999999999;Dressel 20;Fort Vechten;QSP;Germania Inferior
21147;4.905743000000000;46.567577000000000;Dressel 1;Tournus;PA;Lugdunensis
8698;-6.798460000000000;34.053100000000001;Dressel 20;Salé (Sala);VIRAV;Mauretania Tingitana
15474;-0.093145000000000;51.514248000000002;Dressel 20;London;PAR;Britannia
36270;2.007994000000000;41.396144999999997;Dressel 2-4 Catalan;Sant Vicenç dels Horts;ANT;Tarraconensis
9667;11.883333000000000;45.416666999999997;Amphora incerta;Padova;OTAM;Italia
18516;5.783295000000000;43.075304000000003;Dressel 2-4 Catalan;Île des Embiez;A;Narbonensis
38543;30.800000000000001;27.800000000000001;Brindisian amphora;Hermopolis;EMAPVVLEI;Aegyptus
15986;-3.533333000000000;50.700000000000003;Dressel 20;Exeter;FC;Britannia
15430;-2.933333000000000;54.883333000000000;Dressel 20;Carlisle;PAL;Britannia
39675;4.873453000000000;45.524785000000001;Dressel 20;Vienne;CSEMPRONIPOLYCLITI;Narbonensis
32318;11.883333000000000;45.416666999999997;Dressel 6A;Padova;EFLH;Italia
36975;13.583333000000000;37.816667000000002;Amphora incerta;Sicilia;OIVMVA;Sicilia
25277;8.440000000000000;39.881943999999997;Amphora incerta;Sardegna;AO;Corsica et Sardinia
19832;4.765745000000000;44.349093000000003;Gauloise 1;Saint-Paul-Trois-Chateaux;SIS;Narbonensis
35831;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;CERDO;Italia
15628;-2.016667000000000;54.966667000000001;Dressel 20;Corbridge;CAPF;Britannia
20852;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;HEL;Lugdunensis
40475;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;MENECRATES;Italia
4667;11.650000000000000;45.233333000000002;Lamboglia 2;Este;ATTA;Italia
36358;2.007994000000000;41.396144999999997;Dressel 2-4 Catalan;Sant Vicenç dels Horts;F;Tarraconensis
30624;4.516667000000000;45.833333000000003;Dressel 20;Ancy;ECS;Lugdunensis
24874;4.860743000000000;45.531592000000003;Dressel 20;Saint-Romain-en-Gal;PSAVITI;Narbonensis
8733;6.994300000000000;43.549743999999997;Dressel 20;Iles de Lerins (baie de Cannes);LIT;Narbonensis
7974;7.787355000000000;48.600380999999999;Dressel 20;Strasbourg;LFDOMHIS;Germania Superior
8110;5.817642000000000;48.663156000000001;Dressel 20;Choloy;FSCIMNIANO;Belgica
28393;4.860743000000000;45.531592000000003;Dressel 20;Saint-Romain-en-Gal;MIM;Narbonensis
30588;0.158146000000000;49.521309000000002;Dressel 20;Rouen;LSL;Lugdunensis
37233;11.100000000000000;42.250000000000000;Dolium;Isola di Giannutri;CASSIUSFECIT;Italia
26192;12.283333000000001;41.750000000000000;Africana 2D Grande;Ostia Antica;ASVLLMAR;Italia
36948;15.300000000000001;37.066667000000002;Amphora incerta;Siracusa;PCVR;Sicilia
24567;4.846711000000000;45.748457000000002;Dressel 20;Lyon?;CVVA;Lugdunensis
10292;4.942851000000000;43.383543000000003;Dressel 20;Golfe de Fos;SAXFER;Narbonensis
39964;12.283333000000001;41.750000000000000;Amphora incerta;Ostia Antica;FST;Italia
36110;-5.750000000000000;35.583333000000003;Dressel 20;Tanger;TRITAN;Mauretania Tingitana
30368;19.583333000000000;40.716667000000001;Lamboglia 2;Fier;DAMA;Macedonia
40768;-0.434832000000000;41.374163000000003;Brindisian amphora;Velilla de Ebro;PTOLEMAE;Tarraconensis
24976;-9.380439000000001;39.357486000000002;Dressel 7-11;Peniche;LARVENIRVSTICI;Lusitania
9355;6.866667000000000;43.433332999999998;Dressel 2-4 Catalan;Rade d'Agay;CLAR;Narbonensis
26410;6.527150000000000;43.174028999999997;Gauloise 4;Cavalaire;QCE;Narbonensis
23711;-0.751789000000000;37.802242000000000;Lamboglia 2;San Pedro;PLATO;Tarraconensis
15687;-2.933333000000000;54.883333000000000;Dressel 20;Carlisle;ARAXIFM;Britannia
14250;8.684167000000000;50.115519999999997;Dressel 20;Frankfurt am Main;CENNIHISPANI;Germania Superior
40734;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;PTOLEMAE;Italia
20377;8.866667000000000;44.899999999999999;Amphora incerta;Tortona;MAR;Italia
35787;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;VISELLI;Italia
26206;12.283333000000001;41.750000000000000;Africana 2D Grande;Ostia Antica;CLEPTSCD;Italia
37806;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;APPVLEI;Italia
8872;-5.557032000000000;34.073697000000003;Dressel 20;Volubilis;QCR;Mauretania Tingitana
10079;4.942851000000000;43.383543000000003;Dressel 20;Golfe de Fos;ALFO;Narbonensis
38222;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;VEHILI;Italia
38835;-5.082599000000000;37.542203000000001;Dressel 20;Écija;LIVNIMELISSI;Baetica
9088;0.333333000000000;46.583333000000003;Dressel 20;Poitiers;CNAECOR;Aquitania
10944;-5.082599000000000;37.542203000000001;Dressel 20;Écija;ILVI;Baetica
16605;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;LPMS;Britannia
25622;3.008816000000000;43.184417000000003;Dressel 2-4 Catalan;Narbonne;ASCL;Narbonensis
39544;4.873453000000000;45.524785000000001;Dressel 20;Vienne;MMR;Narbonensis
14838;6.452971000000000;51.658768999999999;Dressel 20;Xanten;ROMANI;Germania Inferior
17179;-3.616667000000000;55.116667000000000;Dressel 20;Kirkton;AON;Caledonia
9672;11.883333000000000;45.416666999999997;Amphora incerta;Padova;CMI;Italia
36558;2.007994000000000;41.396144999999997;Dressel 2-4 Catalan;Sant Vicenç dels Horts;PRIMVL;Tarraconensis
24736;4.873453000000000;45.524785000000001;Dressel 20;Vienne;PANNIRVFI;Narbonensis
23865;4.485950000000000;47.537854000000003;Dressel 20;Alise-Sainte-Reine;SAXOFERR;Lugdunensis
15738;-1.066667000000000;51.350000000000001;Dressel 20;Silchester;QCCLE;Britannia
26476;4.873453000000000;45.524785000000001;Dressel 20;Vienne;GEMELLI;Narbonensis
33742;11.133333000000000;45.066667000000002;Dressel 6A;Ostiglia;SAFINIAEPICE;Italia
32148;7.127766000000000;43.562407000000000;Dressel 1B;Antibes;AB;Narbonensis
40598;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;ORESTELENTVLO;Italia
5326;3.104371000000000;42.517594000000003;Dressel 20;Port-Vendres;CSEMPRONIPOLYCLITI;Narbonensis
9485;6.148113000000000;46.195602000000001;Dressel 20;Genève;CSEMPRONIPOLYCLITI;Narbonensis
4723;11.043611000000000;35.394444000000000;Africana 2;Salakta;TERTIASYLL;Africa Proconsularis
30499;3.058585000000000;50.632970999999998;Dressel 20;Lille;SFE;Belgica
36512;2.007994000000000;41.396144999999997;Pascual 1;Sant Vicenç dels Horts;P;Tarraconensis
31714;10.315858000000000;47.732208999999997;Dressel 20;Kempten;QAC;Raetia
23580;3.922760000000000;44.866154999999999;Amphora incerta;Arlempdes;PVERIS;Aquitania
40164;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;DASI;Italia
35408;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;MENOPHIL;Italia
9568;11.883333000000000;45.416666999999997;Lamboglia 2;Padova;CLICABI;Italia
14799;8.279095999999999;49.984188000000003;Dressel 20;Mainz;LQS;Germania Superior
