id;lat;long;type;site;code;name
13264;-5.107258;37.802053;Dressel 20;Posadas;LFC;Baetica
12331;-5.082599;37.542203;Dressel 20;Écija;LCCO;Baetica
13100;-5.666942;37.615058;Dressel 20;Alcolea del Río;MMCS;Baetica
13000;-5.666942;37.615058;Dressel 20;Alcolea del Río;GRATI;Baetica
12955;-5.52751;37.658961;Dressel 20;Lora del Río;QAELIOPTATI;Baetica
26725;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
38845;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
12337;-5.082599;37.542203;Dressel 20;Écija;LFCS;Baetica
13016;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
12523;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
12939;-5.52751;37.658961;Dressel 20;Lora del Río;LVALERITROPHIMI;Baetica
12040;-5.02037;37.810702;Dressel 20;Almodóvar del Río;POT;Baetica
11568;-5.107258;37.802053;Dressel 20;Posadas;LTSTR;Baetica
10932;-5.082599;37.542203;Dressel 20;Écija;SIP;Baetica
13260;-5.02037;37.810702;Dressel 20;Almodóvar del Río;CIVLIBAR;Baetica
38847;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
38928;-5.082599;37.542203;Dressel 20;Écija;CAMILIMELISSI;Baetica
12247;-5.107258;37.802053;Dressel 20;Posadas;CFSCV;Baetica
12545;-6.041843;37.433953;Dressel 20;Santiponce;TFA;Baetica
12931;-5.52751;37.658961;Dressel 20;Lora del Río;AENIANSA;Baetica
41673;-5.52751;37.658961;Dressel 20;Lora del Río;LFFV;Baetica
11134;-5.52751;37.658961;Dressel 20;Lora del Río;POPVLI;Baetica
29336;-5.973167;37.382826;Dressel 20;Seville;LFLVC;Baetica
12217;-5.09965;37.704938;Dressel 20;Fuente Palmera;CCNS;Baetica
38867;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
33369;-5.646083;37.471248;Dressel 20;Carmona;LCS;Baetica
11270;-5.52751;37.658961;Dressel 20;Lora del Río;LFFV;Baetica
11774;-5.02037;37.810702;Dressel 20;Almodóvar del Río;CARI;Baetica
41682;-5.52751;37.658961;Dressel 20;Lora del Río;FIGGRVM;Baetica
12908;-5.52751;37.658961;Dressel 20;Lora del Río;ICCRA;Baetica
11369;-5.281208;37.700239;Dressel 20;Palma del Río;AVCT;Baetica
12320;-5.082599;37.542203;Dressel 20;Écija;LACONF;Baetica
