,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,,,,,,
,14585,Dressel 20,Bonn,,50.73438,7.095485,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,,,,,,
,14622,Dressel 20,Bonn,,50.73438,7.095485,"GMMF, sine imagine",GMMF,,,,,,,
,14651,Dressel 20,Bonn,,50.73438,7.095485,"PMSC, sine imagine",PMSC,,,,,,,
,14690,Dressel 20,Bonn,,50.73438,7.095485,|PnN|,PNN,,,,,,,
,14690,Dressel 20,Bonn,,50.73438,7.095485,|PnN|,PNN,,,,,,,
,14690,Dressel 20,Bonn,,50.73438,7.095485,|PnN|,PNN,,,,,,,
,14690,Dressel 20,Bonn,,50.73438,7.095485,|PnN|,PNN,,,,,,,
,14693,Dressel 20,Bonn,,50.73438,7.095485,"PNN, sine imagine",PNN,,,,,,,
,14693,Dressel 20,Bonn,,50.73438,7.095485,"PNN, sine imagine",PNN,,,,,,,
,14693,Dressel 20,Bonn,,50.73438,7.095485,"PNN, sine imagine",PNN,,,,,,,
,14693,Dressel 20,Bonn,,50.73438,7.095485,"PNN, sine imagine",PNN,,,,,,,
,14707,Dressel 20,Bonn,,50.73438,7.095485,"SEXN+, sine imagine",SEXN...,,,,,,,
,14803,Dressel 20,Bonn,,50.73438,7.095485,"LQS, sine imagine",LQS,,,,,,,
,14848,Dressel 20,Bonn,,50.73438,7.095485,"PORPS, sine imagine",PORPS,,,,,,,
,14891,Dressel 20,Bonn,,50.73438,7.095485,|LSERALB'|,LSERALB,,,,,,,
,14904,Dressel 20,Bonn,,50.73438,7.095485,"ASAENI, sine imagine",ASAENI,,,,,,,
,14917,Dressel 20,Bonn,,50.73438,7.095485,"SAXOFERREO, sine imagine",SAXOFERREO,,,,,,,
,14917,Dressel 20,Bonn,,50.73438,7.095485,"SAXOFERREO, sine imagine",SAXOFERREO,,,,,,,
,14922,Dressel 20,Bonn,,50.73438,7.095485,"SAXFERRIVS, sine imagine",SAXFERRIVS,,,,,,,
,14928,Dressel 20,Bonn,,50.73438,7.095485,"SCALCELS, sine imagine",SCALCELS,,,,,,,
,14995,Dressel 20,Bonn,,50.73438,7.095485,"VIR+, sine imagine",VIR...?,,,,,,,
,17921,Dressel 20,Bonn,,50.73438,7.095485,|CIVEN'A^LBEP,CIVENALBEP,,,,,,,
,20477,Dressel 20,Bonn,,50.73438,7.095485,|G·A·[F],GAF,,,,,,,
,14028,Dressel 20,Burghöfe,,48.6457,10.825275,[C]A'N^TO'N^IQ'V'I^E'T^I'|,CANTONIQVIETI,,,,,,,
,14096,Dressel 20,Burghöfe,,48.6457,10.825275,|A^FRICAN'I'|,AFRICANI,,,,,,,
,14327,Dressel 20,Butzbach,,50.433886,8.672684,Q·F·'C|,QFC,,,,,,,
,14344,Dressel 20,Butzbach,,50.433886,8.672684,"SFE, sine imagine",SFE,,,,,,,
,14459,Dressel 20,Butzbach,,50.433886,8.672684,|LIDFITALICA^E|,LIDFITALICAE,,,,,,,
,14493,Dressel 20,Butzbach,,50.433886,8.672684,"QIMFN, sine imagine",QIMFN,,,,,,,
,14507,Dressel 20,Butzbach,,50.433886,8.672684,|QIM!F*,QIMF & QIMF…,,,,,,,
