AreaTitle,AmphoraIdentifier,AmphoricTypeTitle,SimplifiedTranscription,FullTranscription,FindingPlaceLongitude,FindingPlaceLatitude,FindingPlaceTitle,ProductionPlaceTitle,ProductionPlaceLatitude,ProductionPlaceLongitude,CountryTitle,,,,
Bad Wimpfen,12002,Dressel 20,PNNSH,[P]NNSH|,9.156485,49.229708,aus der Verfüllung des Steinkellers Bef.-Nr.2385,,,,Germany,,,,
Bad Wimpfen,12009,Dressel 20,MVL,|M'VL|,9.156485,49.229708,"Fläche 7800-26, Planum 5-6",,,,Germany,,,,
Bad Wimpfen,13970,Dressel 20,LA...,|L·A*,9.156485,49.229708,Bad Wimpfen,,,,Germany,,,,
Bad Wimpfen,13981,Dressel 20,CAS...,|CAS|,9.156485,49.229708,Bad Wimpfen,El Judío,37.624871,-5.550459,Germany,,,,
Bad Wimpfen,14090,Dressel 20,ACIRGI,|AC'I/|RCI,9.156485,49.229708,Bad Wimpfen,,,,Germany,,,,
Bad Wimpfen,14291,Dressel 20,LFCCVCAT,|LFCCVCA[T],9.156485,49.229708,Kastellvicus,Isla del Castillo,37.621484,-5.134134,Germany,,,,
Bad Wimpfen,14291,Dressel 20,LFCCVCAT,|LFCCVCA[T],9.156485,49.229708,Kastellvicus,Las Ánimas,37.635572,-5.153187,Germany,,,,
Bad Wimpfen,14312,Dressel 20,LFCCVFS,|L'·F'CCVF[S],9.156485,49.229708,Bad Wimpfen,Cerro de los Pesebres,37.752937,-5.211861,Germany,,,,
Bad Wimpfen,14312,Dressel 20,LFCCVFS,|L'·F'CCVF[S],9.156485,49.229708,Bad Wimpfen,Villacisneros,37.762993,-5.199238,Germany,,,,
Bad Wimpfen,14418,Dressel 20,QIA,|Q((hedera))I((hedera))A|,9.156485,49.229708,Bad Wimpfen,Malpica,37.671559,-5.20847,Germany,,,,
Bad Wimpfen,14436,Dressel 20,QIAFSF,|QIAFS^F|,9.156485,49.229708,Lange Strasse 2 (Alte Hofapotheke),,,,Germany,,,,
Bad Wimpfen,14529,Dressel 20,LIT,L'·I'[T],9.156485,49.229708,Bad Wimpfen,,,,Germany,,,,
Bad Wimpfen,14626,Dressel 20,QMMCER,|Q·M·M·CER|,9.156485,49.229708,a. 1892 vor der Kirche,Villaseca,37.796848,-5.030238,Germany,,,,
Bad Wimpfen,14640,Dressel 20,QMR,|QMR|,9.156485,49.229708,Kastellvicus,,,,Germany,,,,
Bad Wimpfen,14739,Dressel 20,POROCODV? (BOROCODV?),P'OROD'[V],9.156485,49.229708,Bad Wimpfen,La Catria,37.648779,-5.506146,Germany,,,,
Bad Wimpfen,20658,Dressel 20,LFCCVCAT,[L]FCCVCA'[T],9.156485,49.229708,Bad Wimpfen,Isla del Castillo,37.621484,-5.134134,Germany,,,,
Bad Wimpfen,20658,Dressel 20,LFCCVCAT,[L]FCCVCA'[T],9.156485,49.229708,Bad Wimpfen,Las Ánimas,37.635572,-5.153187,Germany,,,,
Benningen,13952,Dressel 20,CAFSM & CAFFM,|CAFSM| & |CAFFM|,10.21178,47.968555,Benningen,,,,Germany,,,,
Bingen,14589,Dressel 20,IIIVNMELISSIETMELISSE,"IIIVNMELISSIETMELISSE, sine imagine",7.899198,49.966747,Bingen,Las Delicias,37.585951,-5.088429,Germany,,,,
Bingen,14794,Dressel 20,MQFF,"MQFF, sine imagine",7.899198,49.966747,Bingen,Malpica Sur,37.67842,-5.21428,Germany,,,,
Bingen,14937,Dressel 20,FSCIMNIANO,"FSCIMNIANO, sine imagine",7.899198,49.966747,Bingerbrück,Las Delicias,37.585951,-5.088429,Germany,,,,
Bingerbrück,14237,Dressel 20,CALPVRNI,"CALPVRNI, sine imagine",7.88476,49.966116,beim Bau der linksrheinischen Eisenbahn,,,,Germany,,,,
Bonn,14038,Dressel 20,CANTQVIETI,"CANTQVIETI, sine imagine",7.095485,50.73438,Bonn,,,,Germany,,,,
Bonn,14073,Dressel 20,ACIRGIF,"ACIRGIF, sine imagine",7.095485,50.73438,"vor dem Kölner Tor, sog.Exerierplatz",,,,Germany,,,,
Bonn,14088,Dressel 20,ACIRGI,"ACIRGI, sine imagine",7.095485,50.73438,"vom dem Kölner Tor, sog. Exerzierplatz",Itálica,37.441422,-6.044948,Germany,,,,
Bonn,14099,Dressel 20,AGRICOLAE,|AGRI{CO}LA^E|,7.095485,50.73438,"Württembergerstrasse/ Thüringerstrasse, Am Schäzchen",Casa de Mingaobez,37.80185,-5.072722,Germany,,,,
Bonn,14220,Dressel 20,IICAMILIMELISSI,"IICAMILIMELISSI, sine imagine",7.095485,50.73438,Bonn,Arva,37.623647,-5.604665,Germany,,,,
Bonn,14220,Dressel 20,IICAMILIMELISSI,"IICAMILIMELISSI, sine imagine",7.095485,50.73438,Bonn,Las Delicias,37.585951,-5.088429,Germany,,,,
Bonn,14233,Dressel 20,CCRASSISAI,"CCRASSISAI, sine imagine",7.095485,50.73438,"vor dem Kölner Tor, sog. Exerzierplatz",,,,Germany,,,,
Bonn,14248,Dressel 20,CEFP,"CEFP, sine imagine",7.095485,50.73438,an der Heerstrasse,La Catria,37.648779,-5.506146,Germany,,,,
Bonn,14303,Dressel 20,LFCCVFCM,"LFCCVFCM, sine imagine",7.095485,50.73438,Bonn,,,,Germany,,,,
Bonn,14349,Dressel 20,DFF,"DFF, sine imagine",7.095485,50.73438,Bonn,Arva,37.623647,-5.604665,Germany,,,,
Bonn,14349,Dressel 20,DFF,"DFF, sine imagine",7.095485,50.73438,Bonn,El Tejarillo,37.61618,-5.644928,Germany,,,,
Bonn,14449,Dressel 20,CIALB,"CIALB, sine imagine",7.095485,50.73438,Bonn,Malpica,37.671559,-5.20847,Germany,,,,
Bonn,14565,Dressel 20,LIVNIMELISSI,"LIVNIMELISSI, sine imagine",7.095485,50.73438,Bonn,Las Delicias,37.585951,-5.088429,Germany,,,,
Bonn,14584,Dressel 20,IIIVNMELISSIETMELISSE,"IIIVNMELISSIETMELISSE, sine imagine",7.095485,50.73438,Bonn,Las Delicias,37.585951,-5.088429,Germany,,,,
Bonn,14585,Dressel 20,IIIVNMELISSIETMELISSE,"IIIVNMELISSIETMELISSE, sine imagine",7.095485,50.73438,Bonn,Las Delicias,37.585951,-5.088429,Germany,,,,
Bonn,14622,Dressel 20,GMMF,"GMMF, sine imagine",7.095485,50.73438,Bonn,Azanaque-Castillejo,37.617631,-5.556263,Germany,,,,
Bonn,14651,Dressel 20,PMSC,"PMSC, sine imagine",7.095485,50.73438,Bonn,El Pinzón,37.688935,-5.281541,Germany,,,,
Bonn,14690,Dressel 20,PNN,|PnN|,7.095485,50.73438,Bonn,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Bonn,14690,Dressel 20,PNN,|PnN|,7.095485,50.73438,Bonn,Arva,37.623647,-5.604665,Germany,,,,
Bonn,14690,Dressel 20,PNN,|PnN|,7.095485,50.73438,Bonn,El Tejarillo,37.61618,-5.644928,Germany,,,,
Bonn,14690,Dressel 20,PNN,|PnN|,7.095485,50.73438,Bonn,Tostoneras,37.612696,-5.60742,Germany,,,,
Bonn,14693,Dressel 20,PNN,"PNN, sine imagine",7.095485,50.73438,Bonn,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Bonn,14693,Dressel 20,PNN,"PNN, sine imagine",7.095485,50.73438,Bonn,Arva,37.623647,-5.604665,Germany,,,,
Bonn,14693,Dressel 20,PNN,"PNN, sine imagine",7.095485,50.73438,Bonn,El Tejarillo,37.61618,-5.644928,Germany,,,,
Bonn,14693,Dressel 20,PNN,"PNN, sine imagine",7.095485,50.73438,Bonn,Tostoneras,37.612696,-5.60742,Germany,,,,
Bonn,14707,Dressel 20,SEXN...,"SEXN+, sine imagine",7.095485,50.73438,Bonn,,,,Germany,,,,
Bonn,14803,Dressel 20,LQS,"LQS, sine imagine",7.095485,50.73438,Bonn,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Bonn,14848,Dressel 20,PORPS,"PORPS, sine imagine",7.095485,50.73438,Bonn,La Catria,37.648779,-5.506146,Germany,,,,
